neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
"Paris, Île-de-France, France",Observatoire,t,2016-01-02,f
"Paris, Île-de-France, France",Temple,t,0,f
0,Opéra,t,2015-11-23,t
0,Reuilly,t,2015-11-14,t
"Paris, Île-de-France, France",Opéra,t,2016-01-02,f
0,Buttes-Montmartre,t,2015-12-31,f
"Paris, Île-de-France, France",Popincourt,t,2016-03-02,f
0,Buttes-Montmartre,t,2015-12-21,f
0,Batignolles-Monceau,t,2016-06-28,f
"Paris, Île-de-France, France",Temple,t,2015-12-07,f
0,Buttes-Chaumont,t,0,f
"Paris-13E-Arrondissement, Île-de-France, France",Gobelins,t,2019-09-07,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2015-12-15,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2015-12-13,f
0,Bourse,t,2016-01-25,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-08,f
"Paris, Île-de-France, France",Popincourt,t,2016-03-12,f
"Paris, Île-de-France, France",Opéra,t,2015-11-29,f
0,Buttes-Montmartre,t,2015-11-15,f
"Paris, Île-de-France, France",Entrepôt,t,0,t
"Paris, IDF, France",Luxembourg,t,2015-12-07,f
"Paris, Île-de-France, France",Vaugirard,t,2016-07-05,t
"Paris, Île-de-France, France",Reuilly,f,2015-11-19,f
"Paris, Île-de-France, France",Vaugirard,t,2016-05-22,f
0,Entrepôt,t,2016-03-25,f
0,Batignolles-Monceau,t,2016-01-01,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2015-12-08,t
0,Palais-Bourbon,t,2016-01-02,t
"Paris, Île-de-France, France",Popincourt,f,2016-06-20,f
"Paris, Île-de-France, France",Bourse,t,2015-11-22,f
"Paris, Île-de-France, France",Panthéon,t,2016-11-29,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
0,Observatoire,t,2015-12-06,t
0,Panthéon,t,2016-03-28,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2017-05-26,t
"Paris, Île-de-France, France",Popincourt,t,2015-11-11,f
"Paris, Île-de-France, France",Passy,t,2015-11-19,f
"Paris, Île-de-France, France",Temple,t,2015-12-19,t
"Paris, Île-de-France, France",Observatoire,t,2015-12-06,f
"Paris, Île-de-France, France",Luxembourg,t,2016-01-16,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-01-31,f
0,Vaugirard,t,2016-12-25,t
"Paris-18E-Arrondissement, Île-de-France, France",Buttes-Montmartre,t,2016-10-14,f
"Paris, Île-de-France, France",Temple,t,2016-05-01,f
"Paris-20E-Arrondissement, Île-de-France, France",Ménilmontant,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-02-05,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-04-20,f
"Paris, Île-de-France, France",Ménilmontant,t,2015-11-29,f
0,Vaugirard,t,2016-01-05,f
"Paris, IDF, France",Bourse,t,2015-12-01,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-11-15,f
0,Temple,t,2015-12-13,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2019-04-19,t
"Paris-12E-Arrondissement, IDF, France",Reuilly,t,2016-03-12,f
0,Batignolles-Monceau,t,2018-01-20,t
"Paris, Île-de-France, France",Popincourt,t,2016-06-12,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-08-01,f
0,Entrepôt,t,0,f
0,Temple,t,2016-04-01,f
"Paris, Île-de-France, France",Reuilly,t,2019-07-22,f
0,Buttes-Chaumont,t,2018-03-30,f
"Paris, Île-de-France, France",Élysée,t,0,f
"Paris, Île-de-France, France",Observatoire,t,0,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
0,Vaugirard,t,2017-02-26,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-11-20,t
"Paris, Île-de-France, France",Temple,t,2015-11-28,t
"Paris, Île-de-France, France",Passy,t,0,f
0,Popincourt,t,0,f
0,Ménilmontant,t,2019-02-19,f
"Paris, Île-de-France, France",Ménilmontant,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2016-07-07,f
0,Gobelins,t,2015-12-22,f
"Paris, Île-de-France, France",Entrepôt,t,0,f
0,Reuilly,t,0,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-11-27,t
0,Palais-Bourbon,t,0,f
"Paris-20E-Arrondissement, IDF, France",Ménilmontant,t,2015-12-31,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-17,t
0,Ménilmontant,t,2016-07-12,f
"Paris-15E-Arrondissement, Île-de-France, France",Vaugirard,t,2015-12-08,f
"Paris, Île-de-France, France",Reuilly,t,2016-06-18,f
0,Buttes-Montmartre,t,2017-06-25,f
"Paris, Île-de-France, France",Popincourt,t,2015-12-16,f
0,Luxembourg,t,2016-08-07,t
0,Popincourt,t,2016-06-21,t
0,Opéra,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-01-01,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-03,f
"Paris, IDF, France",Popincourt,t,2016-01-25,t
0,Buttes-Montmartre,t,2015-11-21,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2018-10-22,t
0,Observatoire,t,0,f
"Paris, Île-de-France, France",Observatoire,t,0,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-15,f
0,Passy,t,0,f
0,Observatoire,t,0,f
"Paris, Île-de-France, France",Passy,t,2015-12-29,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-07,f
0,Buttes-Montmartre,t,2016-04-05,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-06-20,f
"Paris, Île-de-France, France",Vaugirard,t,2015-12-25,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-21,f
0,Opéra,t,2017-06-22,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-30,f
0,Entrepôt,f,2015-12-30,f
"Paris, IDF, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Opéra,t,2015-12-16,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-02-09,f
0,Vaugirard,t,2016-06-25,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Entrepôt,t,2015-12-15,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2015-11-27,f
0,Opéra,t,2016-05-04,f
"Paris, Île-de-France, France",Vaugirard,t,2015-11-16,f
0,Palais-Bourbon,t,2016-06-28,t
"Paris, Île-de-France, France",Passy,t,2016-06-24,f
0,Ménilmontant,t,2015-12-01,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-01-14,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2016-06-05,f
"Paris, Île-de-France, France",Passy,t,2016-01-03,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-09-10,f
0,Buttes-Montmartre,t,2016-01-06,f
"Paris, Île-de-France, France",Vaugirard,t,2015-12-20,f
0,Vaugirard,t,2016-01-03,f
"Paris, Île-de-France, France",Entrepôt,t,2015-12-01,f
0,Opéra,t,2016-01-03,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-11-29,f
0,Buttes-Chaumont,t,0,f
"Paris, Île-de-France, France",Gobelins,t,2016-01-01,f
"Paris, Île-de-France, France",Ménilmontant,t,0,f
"Paris, Île-de-France, France",Élysée,t,2016-01-07,t
0,Batignolles-Monceau,t,0,f
0,Observatoire,t,2017-08-29,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-05-30,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,0,f
"Paris, Île-de-France, France",Temple,t,2017-03-19,f
0,Buttes-Chaumont,t,2016-01-06,f
"Paris, IDF, France",Entrepôt,t,2016-06-17,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
"Paris-15E-Arrondissement, Île-de-France, France",Vaugirard,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-06-13,f
0,Passy,t,0,f
0,Observatoire,t,2016-01-02,f
"Paris, Île-de-France, France",Opéra,t,2016-01-03,f
"Paris, Île-de-France, France",Passy,t,2016-12-18,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-12-11,f
"Paris, Île-de-France, France",Entrepôt,t,2017-12-22,f
"Paris, Île-de-France, France",Entrepôt,t,2018-07-23,f
0,Bourse,t,2016-01-08,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-04-02,f
"Paris, Île-de-France, France",Ménilmontant,t,2015-12-13,f
"Paris, IDF, France",Popincourt,t,2016-07-04,f
0,Buttes-Montmartre,t,2016-01-23,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-07,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-01-16,f
0,Temple,t,2016-01-25,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-01-02,f
"Paris, Île-de-France, France",Popincourt,t,2016-01-05,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,0,t
0,Buttes-Montmartre,t,2016-08-01,f
"Paris, Île-de-France, France",Popincourt,t,2016-01-18,f
0,Ménilmontant,t,2016-01-06,f
"Paris, Île-de-France, France",Popincourt,t,2015-12-23,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-02-18,f
"Paris, Île-de-France, France",Passy,t,2015-11-13,t
0,Entrepôt,t,2016-07-16,t
0,Batignolles-Monceau,t,2015-12-31,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-06,f
0,Observatoire,t,2016-01-04,t
"Paris, IDF, France",Buttes-Montmartre,t,2015-12-13,t
"Paris, Île-de-France, France",Temple,t,2015-12-11,f
0,Temple,t,2015-11-22,f
0,Vaugirard,t,0,f
0,Gobelins,t,0,f
0,Entrepôt,t,0,f
"Paris, Île-de-France, France",Passy,t,0,f
0,Entrepôt,t,2016-12-15,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2019-05-11,f
"Paris, Île-de-France, France",Opéra,t,2017-10-05,t
0,Opéra,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-03-15,f
0,Vaugirard,t,0,f
"Paris, Île-de-France, France",Popincourt,t,0,f
0,Popincourt,t,0,f
0,Vaugirard,t,2016-01-07,f
0,Entrepôt,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2015-11-16,f
"Paris, Île-de-France, France",Vaugirard,t,2017-04-23,t
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2016-06-26,t
0,Ménilmontant,t,0,f
0,Hôtel-de-Ville,t,2015-12-13,f
"Paris, Île-de-France, France",Popincourt,t,2016-05-16,f
0,Buttes-Chaumont,t,2015-11-23,f
"Paris, Île-de-France, France",Opéra,t,2016-03-30,t
0,Louvre,t,2016-06-25,f
"Paris, Île-de-France, France",Temple,t,2016-02-26,t
0,Passy,t,2016-01-05,t
"Paris, Île-de-France, France",Entrepôt,t,2016-07-16,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-07-01,f
0,Buttes-Montmartre,t,2015-11-25,f
0,Entrepôt,t,0,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2015-11-18,f
0,Buttes-Montmartre,t,2015-12-08,f
"Paris, Île-de-France, France",Popincourt,t,2016-01-01,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-11-28,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-01-16,f
0,Batignolles-Monceau,t,0,f
0,Buttes-Montmartre,t,2015-12-20,f
"Paris, Île-de-France, France",Opéra,t,0,f
"Paris, Île-de-France, France",Passy,t,2015-12-01,f
"Paris, Île-de-France, France",Entrepôt,t,2016-01-03,f
0,Buttes-Chaumont,f,2016-07-04,f
"Paris, Île-de-France, France",Popincourt,t,2016-01-03,f
"Paris, Île-de-France, France",Panthéon,t,2017-01-02,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Panthéon,t,2016-04-01,f
0,Reuilly,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-15,f
0,Bourse,t,2015-11-29,f
0,Vaugirard,t,2017-03-04,f
"Paris, Île-de-France, France",Passy,t,0,f
0,Ménilmontant,t,0,f
0,Opéra,t,2015-12-07,f
"Paris, Île-de-France, France",Entrepôt,t,2016-01-02,f
"Paris, Île-de-France, France",Observatoire,t,0,f
0,Vaugirard,t,2016-03-20,t
"Paris, Île-de-France, France",Luxembourg,t,2016-06-08,t
0,Hôtel-de-Ville,t,2016-05-30,f
0,Passy,t,0,f
0,Opéra,t,0,f
0,Vaugirard,t,2016-06-25,f
0,Bourse,t,2016-01-14,f
"Paris, Île-de-France, France",Panthéon,t,2016-07-23,t
"Paris, Île-de-France, France",Luxembourg,t,2016-07-12,f
"Paris-18E-Arrondissement, Île-de-France, France",Buttes-Montmartre,t,2015-12-09,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2015-11-27,f
0,Luxembourg,t,0,f
0,Temple,t,0,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-08-15,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-04-21,f
"Paris, Île-de-France, France",Vaugirard,t,2016-01-03,f
"Paris, Île-de-France, France",Observatoire,t,2015-12-09,f
0,Passy,t,2015-12-02,f
"Paris-20E-Arrondissement, Île-de-France, France",Ménilmontant,t,2015-12-14,f
0,Popincourt,t,2015-11-23,f
"Paris, Île-de-France, France",Ménilmontant,t,2015-12-30,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Opéra,t,2016-03-22,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-02-13,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-15,f
"Paris-16E-Arrondissement, Île-de-France, France",Passy,t,2015-12-22,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-01-02,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-03-06,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-03-28,f
0,Vaugirard,t,2016-03-30,f
0,Luxembourg,t,2016-04-02,t
0,Batignolles-Monceau,t,0,f
"Paris, Île-de-France, France",Opéra,t,2015-12-06,f
0,Batignolles-Monceau,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-03-09,f
0,Reuilly,t,2015-11-28,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2016-10-16,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-01-02,f
"Paris, Île-de-France, France",Luxembourg,t,0,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-02-20,t
"Paris-11E-Arrondissement, Île-de-France, France",Popincourt,t,2019-07-01,f
0,Buttes-Montmartre,t,0,f
0,Panthéon,t,0,t
"Paris, Île-de-France, France",Opéra,t,2015-12-06,f
0,Ménilmontant,t,2016-03-16,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2015-12-15,f
0,Gobelins,t,0,f
0,Vaugirard,t,2015-11-25,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-12-28,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-11-23,f
0,Passy,t,0,f
"Paris, Île-de-France, France",Popincourt,t,2015-11-27,f
0,Buttes-Montmartre,t,2016-01-30,f
"Paris-2E-Arrondissement, IDF, France",Entrepôt,t,2016-01-01,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
0,Palais-Bourbon,t,2015-12-02,f
"Paris, IDF, France",Batignolles-Monceau,t,2015-12-29,f
"Paris, Île-de-France, France",Luxembourg,t,2016-01-06,f
0,Vaugirard,t,0,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-11-30,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-12,f
"Paris, Île-de-France, France",Élysée,t,2016-06-22,f
0,Louvre,t,0,f
"Paris, IDF, France",Panthéon,t,2015-12-24,f
0,Luxembourg,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-05-29,f
"Paris, Île-de-France, France",Reuilly,t,2016-07-15,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2019-12-26,f
0,Buttes-Chaumont,t,2016-10-19,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-03-30,f
0,Batignolles-Monceau,t,2016-07-03,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2018-05-12,t
0,Popincourt,t,2017-11-21,f
"Paris, Île-de-France, France",Temple,t,2015-12-08,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-01-02,f
"Paris, Île-de-France, France",Louvre,t,2016-05-14,f
"Paris, Île-de-France, France",Luxembourg,t,2015-12-04,f
0,Buttes-Montmartre,t,0,f
0,Buttes-Montmartre,t,2015-12-28,f
"Paris, Île-de-France, France",Vaugirard,t,2016-02-06,f
"Paris, Île-de-France, France",Popincourt,t,2016-03-14,t
"Paris, Île-de-France, France",Popincourt,t,2018-11-18,f
"Paris, Île-de-France, France",Opéra,t,0,f
"Paris, Île-de-France, France",Observatoire,t,2015-12-30,f
0,Élysée,t,2016-02-10,f
0,Popincourt,t,2016-06-20,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2015-12-28,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-01-28,t
"Paris, Île-de-France, France",Bourse,t,2016-03-02,t
"Paris, Île-de-France, France",Vaugirard,t,2016-01-07,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-01-18,f
0,Luxembourg,t,2016-03-13,f
"Paris, Île-de-France, France",Panthéon,t,2015-11-29,f
0,Vaugirard,t,0,f
0,Batignolles-Monceau,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-01-07,f
0,Palais-Bourbon,t,0,f
0,Batignolles-Monceau,t,0,f
0,Louvre,t,2015-12-06,f
0,Luxembourg,t,0,f
0,Buttes-Montmartre,t,2015-12-09,f
0,Ménilmontant,t,2016-04-05,f
"Paris, IDF, France",Observatoire,t,2016-05-14,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-30,f
"Paris, Île-de-France, France",Reuilly,t,2016-01-12,f
0,Entrepôt,t,0,f
0,Observatoire,t,2015-12-10,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-27,f
0,Temple,t,2016-12-05,f
0,Vaugirard,t,2016-06-05,t
"Paris, Île-de-France, France",Observatoire,t,0,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-06,f
0,Palais-Bourbon,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,0,f
0,Louvre,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-10,f
"Paris, Île-de-France, France",Vaugirard,f,0,f
"Paris, Île-de-France, France",Temple,t,2016-03-08,f
0,Popincourt,t,0,t
"Paris, Île-de-France, France",Observatoire,t,2015-12-27,f
0,Ménilmontant,t,0,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Opéra,t,2018-03-30,f
"Paris, Île-de-France, France",Panthéon,t,2016-07-26,t
"Paris, Île-de-France, France",Ménilmontant,t,2015-12-01,f
0,Buttes-Chaumont,t,0,f
"Paris, Île-de-France, France",Passy,t,2018-06-22,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-04-17,f
"Paris, Île-de-France, France",Passy,t,2017-03-08,f
"Paris, Île-de-France, France",Bourse,t,2016-01-01,f
"Paris-6E-Arrondissement, Île-de-France, France",Luxembourg,t,2015-12-08,f
0,Passy,t,2015-12-14,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-06-14,f
0,Gobelins,t,2016-01-05,t
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-01-31,f
0,Vaugirard,t,0,t
"Paris, Île-de-France, France",Luxembourg,t,2016-01-05,f
0,Buttes-Chaumont,t,2015-12-14,f
0,Luxembourg,t,0,f
"Paris, Île-de-France, France",Opéra,t,2015-12-25,f
0,Luxembourg,t,0,f
"Paris, Île-de-France, France",Panthéon,t,2016-03-22,t
"Paris, Île-de-France, France",Gobelins,t,0,f
"Paris, Île-de-France, France",Élysée,t,2015-12-24,f
"Paris, Paris province, France",Louvre,t,2015-12-22,f
"Paris, Île-de-France, France",Entrepôt,t,2016-01-17,f
0,Palais-Bourbon,t,2017-09-17,f
"Paris, Île-de-France, France",Panthéon,t,2016-03-28,f
0,Observatoire,t,2017-07-18,t
"Paris, Île-de-France, France",Louvre,t,2016-02-22,f
"Paris, Île-de-France, France",Bourse,t,2015-11-27,f
"Paris, Île-de-France, France",Observatoire,t,0,f
"Paris, Île-de-France, France",Panthéon,t,2015-11-28,f
"Paris, Île-de-France, France",Opéra,t,2016-03-09,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-03-27,f
"Paris, Île-de-France, France",Observatoire,t,0,f
0,Buttes-Montmartre,t,0,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-04-21,f
0,Passy,t,2017-09-17,t
0,Reuilly,t,2016-09-01,f
0,Gobelins,t,0,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-01-02,f
0,Entrepôt,t,2019-07-11,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
"Paris, Île-de-France, France",Panthéon,t,0,f
0,Vaugirard,t,2016-07-13,t
"Paris, Île-de-France, France",Vaugirard,t,2016-06-05,f
0,Ménilmontant,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
"Paris, Île-de-France, France",Panthéon,t,2017-05-02,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-01-28,t
0,Buttes-Montmartre,t,2016-07-03,t
0,Popincourt,t,2019-01-23,f
"Paris, Île-de-France, France",Entrepôt,t,2016-07-01,f
0,Popincourt,t,2015-12-03,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-01-30,t
0,Opéra,t,0,f
"Paris, Île-de-France, France",Opéra,t,0,f
"Paris, Île-de-France, France",Entrepôt,t,2015-12-11,f
"Paris, Île-de-France, France",Popincourt,t,2016-07-05,f
0,Élysée,t,2015-12-22,f
0,Observatoire,t,0,f
"Paris, Île-de-France, France",Palais-Bourbon,t,2016-01-02,f
"Paris, Île-de-France, France",Passy,t,2016-01-09,f
"Paris, Île-de-France, France",Luxembourg,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-03-08,f
0,Buttes-Chaumont,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-01-02,f
"Paris, Île-de-France, France",Gobelins,t,0,t
"Paris, Île-de-France, France",Luxembourg,t,2016-02-21,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Temple,t,2016-09-13,t
0,Observatoire,t,0,f
0,Luxembourg,t,2016-03-22,t
"Paris, Île-de-France, France",Batignolles-Monceau,t,2016-08-01,f
0,Buttes-Chaumont,t,0,f
0,Vaugirard,t,2016-05-30,t
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-03-26,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-30,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
0,Temple,t,2016-05-22,f
"Paris, Île-de-France, France",Bourse,t,2016-01-31,t
"Paris, Île-de-France, France",Vaugirard,t,2016-02-23,f
0,Vaugirard,t,0,f
"Paris, Île-de-France, France",Opéra,t,2016-10-04,f
"Paris, Île-de-France, France",Vaugirard,t,2016-06-06,f
0,Buttes-Chaumont,t,2017-12-07,f
"Paris, Île-de-France, France",Panthéon,t,2016-01-03,f
0,Palais-Bourbon,t,2015-12-01,f
"Paris, Île-de-France, France",Ménilmontant,t,2019-07-06,f
"Paris, Île-de-France, France",Temple,t,2015-11-29,f
"Paris, Île-de-France, France",Vaugirard,t,2016-03-01,f
0,Popincourt,t,0,f
"Paris, Île-de-France, France",Louvre,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2015-11-28,t
0,Entrepôt,t,0,f
0,Vaugirard,t,0,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-07-03,f
"Paris, Île-de-France, France",Vaugirard,t,0,f
0,Buttes-Montmartre,t,2015-12-11,f
0,Reuilly,t,0,f
"Paris, Île-de-France, France",Panthéon,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2015-12-21,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-08-10,f
0,Passy,t,2018-05-20,f
0,Vaugirard,t,2015-12-10,f
"Paris, Île-de-France, France",Passy,t,2015-12-25,f
0,Entrepôt,t,2016-02-11,f
0,Bourse,t,2016-01-18,t
"Paris, Île-de-France, France",Buttes-Montmartre,f,2020-07-04,f
0,Opéra,t,2015-12-09,t
0,Opéra,t,2016-01-01,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,2016-09-13,f
"Paris, Île-de-France, France",Panthéon,t,2016-03-18,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-02-07,f
0,Panthéon,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,2016-01-01,f
0,Entrepôt,t,0,f
"Paris, Île-de-France, France",Vaugirard,t,2017-08-14,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2015-12-06,f
"Paris, Île-de-France, France",Ménilmontant,t,2016-01-01,f
0,Popincourt,t,0,f
"Paris, Île-de-France, France",Louvre,t,2016-02-23,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-08,f
"Paris, Île-de-France, France",Vaugirard,t,2016-06-26,f
0,Palais-Bourbon,t,2018-05-25,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2016-03-11,t
0,Palais-Bourbon,t,0,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2016-02-07,f
0,Popincourt,t,0,f
0,Observatoire,t,2015-12-22,t
0,Buttes-Chaumont,t,2015-12-13,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2019-02-14,f
"Paris, IDF, France",Gobelins,t,2016-03-10,f
"Paris, Île-de-France, France",Temple,t,2015-12-29,t
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2015-12-07,f
0,Reuilly,t,2015-12-05,f
"Paris, Île-de-France, France",Vaugirard,t,2016-01-27,t
"Paris, Île-de-France, France",Entrepôt,t,2019-10-27,f
0,Hôtel-de-Ville,t,2016-01-03,t
"Paris, Île-de-France, France",Temple,t,2016-01-03,f
0,Buttes-Chaumont,t,2016-01-02,f
"Paris, Île-de-France, France",Observatoire,t,0,f
0,Popincourt,t,2015-12-22,f
"Paris, Île-de-France, France",Popincourt,t,2015-12-10,f
"Paris, Île-de-France, France",Entrepôt,t,2017-06-14,f
0,Observatoire,t,0,t
"Paris, Île-de-France, France",Buttes-Montmartre,t,0,f
0,Buttes-Montmartre,t,2018-05-20,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2015-12-31,t
0,Luxembourg,t,2015-12-13,t
"Paris, Île-de-France, France",Panthéon,t,0,f
"Paris, Île-de-France, France",Reuilly,t,2016-05-31,f
0,Batignolles-Monceau,t,2016-03-30,f
"Paris-5E-Arrondissement, Île-de-France, France",Panthéon,t,0,f
"Paris, Île-de-France, France",Temple,t,2017-06-25,f
"Paris, Île-de-France, France",Ménilmontant,t,2015-12-25,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2016-08-15,f
0,Popincourt,t,0,f
