neighbourhood,neighbourhood_cleansed,has_availability,first_review,instant_bookable
"Paris, Ile-de-France, France",Buttes-Chaumont,t,2011-04-11,f
"Paris, Île-de-France, France",Entrepôt,t,2011-01-07,f
"Paris, Ile-de-France, France",Batignolles-Monceau,t,2011-03-04,f
"Paris, Ile-de-France, France",Panthéon,t,2013-08-02,t
"Paris, Ile-de-France, France",Panthéon,t,2011-06-21,f
0,Hôtel-de-Ville,t,2011-01-05,f
"Paris, Île-de-France, France",Entrepôt,t,2011-02-15,t
0,Vaugirard,t,2015-07-01,f
"Paris, Ile-de-France, France",Buttes-Chaumont,t,2011-06-09,f
0,Palais-Bourbon,t,2011-03-16,f
0,Louvre,t,2011-03-14,t
"Paris, Ile-de-France, France",Temple,t,2011-03-01,f
"Paris, Ile-de-France, France",Gobelins,t,2016-01-02,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2011-03-18,f
"Paris, Ile-de-France, France",Reuilly,t,2013-05-12,f
"Paris, Ile-de-France, France",Entrepôt,t,2011-03-21,f
0,Louvre,t,2011-04-19,t
"Paris, Île-de-France, France",Batignolles-Monceau,t,2011-10-14,f
"Paris, Ile-de-France, France",Hôtel-de-Ville,t,2012-07-27,f
0,Ménilmontant,t,2011-06-14,t
"Paris, Île-de-France, France",Temple,t,2011-03-07,f
0,Gobelins,t,2011-04-07,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2011-06-11,f
"Paris, Île-de-France, France",Opéra,t,2011-04-29,f
0,Ménilmontant,t,2011-04-18,f
"Paris, Ile-de-France, France",Panthéon,t,2011-06-15,f
"Paris, Ile-de-France, France",Hôtel-de-Ville,t,2011-03-23,f
"Paris, Ile-de-France, France",Entrepôt,t,2011-05-21,f
0,Vaugirard,t,2012-05-28,f
0,Luxembourg,t,2012-01-07,f
"Paris, Ile-de-France, France",Buttes-Montmartre,t,2011-05-03,f
"Paris, Ile-de-France, France",Temple,t,2011-09-29,f
"Paris, Île-de-France, France",Louvre,t,2011-11-12,t
0,Temple,t,2011-04-14,f
0,Luxembourg,t,2011-11-04,f
"Paris, Ile-de-France, France",Entrepôt,t,2011-07-28,f
"Paris, Ile-de-France, France",Ménilmontant,t,2011-07-13,f
"Paris, Île-de-France, France",Gobelins,t,2012-08-25,f
"Paris, Ile-de-France, France",Bourse,t,2011-05-10,f
"Paris, Ile-de-France, France",Observatoire,t,2011-04-25,t
0,Ménilmontant,t,2011-09-30,f
"Paris, Ile-de-France, France",Popincourt,t,2011-07-04,f
0,Popincourt,t,2011-07-20,f
0,Gobelins,t,2011-09-08,f
0,Temple,t,2011-05-25,f
"Paris, Ile-de-France, France",Temple,t,2011-07-29,f
"Paris, Ile-de-France, France",Élysée,t,2015-12-03,f
"Paris, Ile-de-France, France",Panthéon,t,2011-06-12,f
"Paris, Ile-de-France, France",Panthéon,t,2011-07-17,f
"Paris, Île-de-France, France",Batignolles-Monceau,t,2011-05-27,f
"Paris, Île-de-France, France",Ménilmontant,t,2015-08-03,f
"Paris, Île-de-France, France",Vaugirard,t,2016-03-23,f
0,Buttes-Montmartre,t,2014-07-07,f
0,Buttes-Montmartre,t,2013-12-28,t
0,Gobelins,t,2011-06-19,f
"Paris, Île-de-France, France",Popincourt,t,2011-06-23,f
0,Popincourt,t,2011-06-20,f
"Paris, Ile-de-France, France",Opéra,t,2011-06-30,f
0,Temple,t,2011-06-11,f
"Paris, Île-de-France, France",Popincourt,t,2011-06-19,f
0,Ménilmontant,t,2013-09-01,t
"Paris, Île-de-France, France",Bourse,t,2011-06-15,t
0,Passy,t,2015-04-13,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2013-07-24,f
0,Bourse,t,0,f
"Paris, Île-de-France, France",Buttes-Chaumont,t,2014-10-12,f
0,Buttes-Montmartre,t,2011-06-25,f
"Paris, Île-de-France, France",Bourse,t,2011-06-27,f
0,Entrepôt,t,2011-08-20,f
0,Passy,t,2011-06-26,t
"Paris, Île-de-France, France",Entrepôt,t,2011-09-11,f
0,Buttes-Chaumont,t,2011-07-08,f
0,Bourse,t,2011-08-27,t
0,Palais-Bourbon,t,2012-03-13,f
"Paris, Île-de-France, France",Panthéon,t,2012-05-22,t
"Paris, Île-de-France, France",Entrepôt,t,2011-07-02,t
"Paris, Île-de-France, France",Buttes-Chaumont,t,2011-07-20,f
0,Buttes-Chaumont,t,2011-07-07,f
0,Ménilmontant,t,2011-07-04,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2011-10-01,f
"Paris, Île-de-France, France",Buttes-Montmartre,t,2019-05-03,f
0,Popincourt,t,2011-06-29,f
"Paris, Île-de-France, France",Hôtel-de-Ville,t,2011-10-26,f
"Paris, Île-de-France, France",Entrepôt,t,2011-08-27,f
"Paris, Île-de-France, France",Entrepôt,t,2019-04-22,f
0,Buttes-Montmartre,t,0,f
"Paris, Île-de-France, France",Élysée,t,2011-09-26,f
0,Ménilmontant,t,2011-08-11,f
0,Entrepôt,t,2012-10-10,f
0,Temple,t,2011-08-13,f
"Paris, Île-de-France, France",Entrepôt,t,2011-09-23,f
0,Louvre,t,2012-01-02,f
